timestamp,open,high,low,close,volume
1736898120000,96599.99,96639.1,96599.99,96639.09,5.36196
1736898180000,96639.09,96698.33,96639.09,96698.33,3.40353
1736898240000,96698.33,96721.68,96678.5,96678.51,10.40818
1736898300000,96678.5,96697.75,96678.5,96697.75,2.65298
1736898360000,96697.74,96719.02,96685.93,96685.93,5.82636
1736898420000,96685.94,96685.94,96647.62,96647.63,2.41682
1736898480000,96647.62,96657.08,96630.9,96630.91,5.19151
1736898540000,96630.91,96630.91,96600.0,96600.0,3.54374
1736898600000,96600.0,96600.0,96546.61,96546.61,10.84672
1736898660000,96546.61,96599.57,96546.61,96599.57,4.79256
1736898720000,96599.56,96635.44,96599.56,96635.44,1.43377
1736898780000,96635.43,96635.44,96607.35,96607.35,2.17171
1736898840000,96607.35,96655.68,96607.35,96624.09,4.7455
1736898900000,96624.09,96624.1,96607.65,96607.65,2.52772
1736898960000,96607.66,96607.66,96606.51,96606.51,1.37214
1736899020000,96606.51,96606.51,96541.29,96541.3,4.67059
1736899080000,96541.29,96549.71,96536.95,96536.96,3.48486
1736899140000,96536.96,96560.86,96536.95,96560.86,4.68678
1736899260000,96600.0,96606.48,96568.0,96568.01,6.65755
1736899320000,96568.0,96593.19,96558.48,96558.48,9.42897
1736899380000,96558.48,96558.49,96535.0,96542.51,9.48849
1736899440000,96542.51,96542.51,96506.93,96526.01,5.19706
1736899500000,96526.01,96600.0,96500.0,96599.99,7.48122
1736899560000,96600.0,96623.48,96570.63,96581.49,6.26556
1736899620000,96581.5,96658.42,96581.49,96625.26,6.09747
1736899680000,96625.26,96800.0,96625.26,96799.99,25.73435
1736899740000,96799.99,96800.0,96663.89,96663.89,11.49447
1736899800000,96663.9,96730.97,96663.89,96679.1,14.11595
1736899860000,96679.1,96732.3,96625.26,96732.3,10.71751
1736899920000,96732.3,96794.3,96732.3,96792.9,14.82426
1736899980000,96792.89,96862.87,96777.41,96851.17,13.94837
1736900040000,96851.16,96864.61,96809.99,96853.45,11.62522
1736900100000,96853.46,96889.14,96830.75,96889.13,6.17599
